,CH1,CH2,CH3,CH4
,15.5152,530.284,535.147,3.92157
,15.5152,530.333,534.51,3.92157
,15.5005,529.549,534.363,4.01961
,15.5471,529.451,534.069,3.82353
,15.5471,529.108,533.725,3.77451
,15.5667,529.059,533.725,4.06863
,15.5471,528.863,533.725,3.67647
,15.5127,528.618,533.529,3.67647
,15.5176,528.618,533.284,3.82353
,15.5544,528.422,532.745,3.97059
,15.5299,528.422,532.696,3.87255
,15.5225,527.882,532.402,3.67647
,15.5275,527.833,532.059,3.48039
,15.5152,527.735,531.716,3.48039
,15.525,527.196,531.814,3.33333
,15.5103,527.147,531.373,3.52941
,15.5225,526.853,531.324,3.67647
,15.5667,526.314,531.176,3.72549
,15.525,526.167,530.686,3.67647
,15.5225,526.216,530.539,3.52941
,15.5005,525.676,530.098,3.57843
,15.5201,525.824,530.196,3.38235
,15.5078,525.627,529.706,3.08824
,15.5176,525.627,529.314,3.48039
,15.5373,525.235,529.363,3.38235
,15.5029,525.186,529.216,3.67647
,15.525,524.696,528.775,3.72549
,15.5127,524.843,528.725,3.38235
,15.4931,524.157,528.284,3.38235
,15.5176,524.01,528.039,3.38235
,15.5103,523.667,527.941,3.52941
,15.5152,523.471,527.696,3.77451
,15.525,523.373,527.696,3.52941
,15.5275,523.373,527.353,3.57843
,15.498,522.686,527.108,3.48039
,15.5078,522.343,526.912,3.57843
,15.4956,521.951,526.814,3.48039
,15.5029,521.902,526.618,3.48039
,15.4833,521.755,526.373,3.38235
,15.4907,521.706,526.127,2.89216
,15.5495,521.265,526.029,3.23529
,15.5275,521.069,525.637,3.08824
,15.5103,520.873,525.392,3.23529
,15.5201,521.02,525.343,3.57843
,15.5127,520.578,525.392,3.28431
,15.4735,520.725,525.196,3.57843
,15.4711,520.382,525.049,3.38235
,15.5029,520.088,524.804,3.43137
,15.498,519.794,524.608,3.67647
,15.5029,519.353,524.216,3.52941
,15.4735,519.206,524.02,3.03922
,15.4613,519.255,523.971,3.08824
,15.4417,519.304,523.971,3.23529
,15.4564,519.157,523.824,3.43137
,15.4711,518.912,523.775,3.13725
,15.5054,518.422,523.578,3.23529
,15.4833,518.078,523.137,3.18627
,15.4882,517.784,523.137,3.13725
,15.4466,517.784,523.235,3.13725
,15.4539,517.931,522.941,3.03922
,15.4662,517.735,522.843,3.13725
,15.4466,517.441,522.353,3.38235
,15.4833,517.049,522.304,3.48039
,15.4858,517.098,522.059,3.67647
,15.4809,516.902,521.961,3.33333
,15.525,517.147,521.912,3.52941
,15.5029,516.853,521.765,3.72549
,15.476,516.559,521.569,3.62745
,15.4662,516.216,521.176,3.23529
,15.4735,515.971,521.176,3.03922
,15.4662,515.922,521.225,3.28431
,15.4441,515.676,521.324,3.28431
,15.4515,515.578,521.029,3.52941
,15.4221,515.627,520.882,3.43137
,15.449,515.235,520.637,3.33333
,15.4662,514.941,520.343,3.08824
,15.4343,514.647,520.196,3.23529
,15.4515,514.696,519.804,3.38235
,15.4172,514.549,519.902,3.23529
,15.4245,514.157,519.363,3.03922
,15.4368,513.814,519.412,3.38235
,15.4515,513.863,519.069,3.28431
,15.4147,513.716,518.725,3.03922
,15.4172,513.52,518.971,3.08824
,15.4466,513.373,518.48,3.13725
,15.4613,513.324,518.431,3.23529
,15.4735,513.127,518.137,3.43137
,15.4662,512.686,518.186,3.38235
,15.427,512.588,517.794,3.23529
,15.4294,512.392,517.647,3.28431
,15.4417,512,517.402,3.23529
,15.4392,512.196,516.961,3.18627
,15.4564,511.755,516.863,2.9902
,15.4343,511.412,516.667,3.23529
,15.4515,511.118,516.176,3.33333
,15.4662,510.824,516.127,3.38235
,15.4441,510.578,516.029,3.43137
,15.4539,510.431,515.833,3.28431
,15.4245,510.382,515.245,3.28431
,15.427,509.843,515.294,3.13725
,15.449,509.598,514.804,2.84314
,15.4466,509.108,514.608,3.08824
,15.4515,508.765,514.069,3.18627
,15.4637,508.961,514.118,3.33333
,15.4735,508.618,513.431,3.08824
,15.4392,508.422,513.235,3.13725
,15.4392,508.176,512.794,3.03922
,15.3877,507.882,512.696,3.13725
,15.4172,507.539,512.402,3.08824
,15.4368,507.147,512.353,3.18627
,15.4319,507,512.01,3.03922
,15.4686,506.265,511.618,3.03922
,15.3951,505.873,511.176,2.64706
,15.4245,505.284,510.735,2.9902
,15.4221,505.088,510.343,2.64706
,15.3779,504.206,509.804,3.08824
,15.3828,504.01,509.069,3.18627
,15.3902,503.716,508.873,3.08824
,15.3828,503.716,508.627,2.79412
,15.3755,503.029,508.284,3.03922
,15.4466,502.539,507.843,3.03922
,15.3779,502.049,507.353,2.79412
,15.3534,501.657,507.108,2.89216
,15.4123,500.971,506.814,2.79412
,15.427,501.02,506.176,2.59804
,15.4049,500.578,505.735,3.08824
,15.4049,499.696,505.294,3.03922
,15.3412,499.255,504.461,2.94118
,15.4025,498.765,504.069,2.84314
,15.3657,498.471,503.873,2.84314
,15.3902,498.078,503.529,2.94118
